set,polarity,kind,dot
Set 1,Pos,target,999
Set 1,Pos,target,984
Set 1,Pos,target,994
Set 1,Pos,target,996
Set 1,Pos,target,991
Set 1,Pos,target,989
Set 1,Pos,target,584
Set 1,Pos,target,988
Set 1,Pos,target,993
Set 1,Pos,target,965
Set 1,Pos,target,719
Set 1,Pos,target,613
Set 1,Pos,target,944
Set 1,Pos,target,909
Set 1,Pos,target,155
Set 1,Pos,target,774
Set 1,Pos,target,402
Set 1,Pos,target,599
Set 1,Pos,target,749
Set 1,Pos,target,231
Set 1,Pos,target,755
Set 1,Pos,target,931
Set 1,Pos,target,693
Set 1,Pos,target,968
Set 1,Pos,target,994
Set 1,Pos,target,997
Set 1,Pos,target,999
Set 1,Pos,target,355
Set 1,Pos,target,994
Set 1,Pos,target,893
Set 1,Pos,target,996
Set 1,Pos,target,969
Set 1,Pos,target,706
Set 1,Pos,target,992
Set 1,Pos,target,987
Set 1,Pos,target,79
Set 1,Pos,target,933
Set 1,Pos,target,963
Set 1,Pos,target,428
Set 1,Pos,target,757
Set 1,Pos,target,631
Set 1,Pos,target,697
Set 1,Pos,target,155
Set 1,Pos,target,964
Set 1,Pos,target,503
Set 1,Pos,target,990
Set 1,Pos,target,998
Set 1,Pos,target,290
Set 1,Pos,target,971
Set 1,Pos,target,873
Set 1,Pos,target,937
Set 1,Pos,target,881
Set 1,Pos,target,429
Set 1,Pos,target,907
Set 1,Pos,target,427
Set 1,Pos,target,526
Set 1,Pos,target,806
Set 1,Pos,target,559
Set 1,Pos,target,531
Set 1,Pos,target,364
Set 1,Pos,target,103
Set 1,Pos,target,156
Set 1,Pos,target,320
Set 1,Pos,target,438
Set 1,Pos,target,142
Set 1,Pos,target,211
Set 1,Pos,target,414
Set 1,Pos,target,50
Set 1,Pos,target,276
Set 1,Pos,target,788
Set 1,Pos,target,838
Set 1,Pos,target,346
Set 1,Pos,target,720
Set 1,Pos,target,171
Set 1,Pos,target,990
Set 1,Pos,target,565
Set 1,Pos,target,538
Set 1,Pos,target,440
Set 1,Pos,target,461
Set 1,Pos,target,306
Set 1,Pos,target,735
Set 1,Pos,target,856
Set 1,Pos,target,939
Set 1,Pos,target,986
Set 1,Pos,target,979
Set 1,Pos,target,831
Set 1,Pos,target,957
Set 1,Pos,target,208
Set 1,Pos,target,986
Set 1,Pos,target,697
Set 1,Pos,target,978
Set 1,Pos,target,673
Set 1,Pos,target,733
Set 1,Pos,target,904
Set 1,Pos,target,100
Set 1,Pos,target,901
Set 1,Pos,target,977
Set 1,Pos,target,923
Set 1,Pos,target,307
Set 1,Pos,target,122
Set 1,Pos,target,5
Set 1,Pos,target,982
Set 1,Pos,target,761
Set 1,Pos,target,866
Set 1,Pos,target,69
Set 1,Pos,target,29
Set 1,Pos,target,422
Set 1,Pos,target,943
Set 1,Pos,target,58
Set 1,Pos,target,751
Set 1,Pos,target,996
Set 1,Pos,target,808
Set 1,Pos,target,817
Set 1,Pos,target,997
Set 1,Pos,target,830
Set 1,Pos,target,993
Set 1,Pos,target,938
Set 1,Pos,target,93
Set 1,Pos,target,816
Set 1,Pos,target,961
Set 1,Pos,target,151
Set 1,Pos,target,84
Set 1,Pos,target,949
Set 1,Pos,target,5
Set 1,Pos,target,845
Set 1,Pos,target,960
Set 1,Pos,target,945
Set 1,Pos,target,56
Set 1,Pos,target,82
Set 1,Pos,target,11
Set 1,Pos,target,992
Set 1,Pos,target,938
Set 1,Pos,target,824
Set 1,Pos,target,1000
Set 1,Pos,target,1
Set 1,Pos,target,11
Set 1,Pos,target,997
Set 1,Pos,target,773
Set 1,Pos,target,968
Set 1,Pos,target,2
Set 1,Pos,target,508
Set 1,Pos,target,920
Set 1,Pos,target,34
Set 1,Pos,target,931
Set 1,Pos,target,997
Set 1,Pos,target,965
Set 1,Pos,target,823
Set 1,Pos,target,945
Set 1,Pos,target,235
Set 1,Pos,decoy,2
Set 1,Pos,target,949
Set 1,Pos,target,988
Set 1,Pos,decoy,1
Set 1,Pos,target,981
Set 1,Pos,target,16
Set 1,Pos,target,826
Set 1,Pos,target,17
Set 1,Pos,decoy,10
Set 1,Pos,target,992
Set 1,Pos,target,956
Set 1,Pos,target,978
Set 1,Pos,target,15
Set 1,Pos,decoy,41
Set 1,Pos,target,325
Set 1,Pos,target,49
Set 1,Pos,target,411
Set 1,Pos,target,986
Set 1,Pos,target,995
Set 1,Pos,target,277
Set 1,Pos,target,989
Set 1,Pos,target,415
Set 1,Pos,target,830
Set 1,Pos,target,996
Set 1,Pos,target,938
Set 1,Pos,target,935
Set 1,Pos,target,984
Set 1,Pos,target,3
Set 1,Pos,target,944
Set 1,Pos,target,989
Set 1,Pos,target,993
Set 1,Pos,target,996
Set 1,Pos,target,989
Set 1,Pos,target,993
Set 1,Pos,target,993
Set 1,Pos,target,994
Set 1,Pos,target,991
Set 1,Pos,target,990
Set 1,Pos,target,971
Set 1,Pos,target,999
Set 1,Pos,target,988
Set 1,Pos,target,10
Set 1,Pos,target,955
Set 1,Pos,target,47
Set 1,Pos,target,976
Set 1,Pos,target,998
Set 1,Pos,target,988
Set 1,Pos,target,989
Set 1,Pos,target,995
Set 1,Pos,target,996
Set 1,Pos,target,826
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,868
Set 1,Pos,target,949
Set 1,Pos,target,866
Set 1,Pos,target,996
Set 1,Pos,target,952
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,1000
Set 1,Pos,target,912
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,496
Set 1,Pos,target,996
Set 1,Pos,target,993
Set 1,Pos,target,992
Set 1,Pos,target,804
Set 1,Pos,target,933
Set 1,Pos,target,890
Set 1,Pos,target,179
Set 1,Pos,target,953
Set 1,Pos,target,268
Set 1,Pos,target,986
Set 1,Pos,target,999
Set 1,Pos,target,997
Set 1,Pos,target,5
Set 1,Pos,target,979
Set 1,Pos,target,958
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,5
Set 1,Pos,target,983
Set 1,Pos,target,1
Set 1,Pos,target,995
Set 1,Pos,target,814
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,979
Set 1,Pos,target,999
Set 1,Pos,target,999
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,888
Set 1,Pos,target,754
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,673
Set 1,Pos,target,981
Set 1,Pos,target,997
Set 1,Pos,target,996
Set 1,Pos,target,804
Set 1,Pos,target,974
Set 1,Pos,target,999
Set 1,Pos,target,999
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,1000
Set 1,Pos,target,999
Set 1,Pos,target,979
Set 1,Pos,target,793
